month,created_count,closed_count,backlog_end,avg_resolution_hours,median_resolution_hours,p90_resolution_hours,share_closed_within_24h,share_closed_within_72h,share_closed_within_168h,share_closed_within_336h
2012-09,1,0,1,,,,,,,
2012-11,0,1,0,2044.0066666666667,2044.0066666666667,2044.0066666666667,0.0,0.0,0.0,0.0
2013-01,2,0,2,,,,,,,
2013-03,0,1,0,1879.5969444444445,1879.5969444444445,1879.5969444444445,0.0,0.0,0.0,0.0
2013-04,1,0,1,,,,,,,
2013-05,1,1,1,486.985,486.985,486.985,0.0,0.0,0.0,0.0
2013-06,1,1,1,649.9294444444445,649.9294444444445,649.9294444444445,0.0,0.0,0.0,0.0
2013-09,0,1,0,2619.028888888889,2619.028888888889,2619.028888888889,0.0,0.0,0.0,0.0
2014-01,1,0,1,,,,,,,
2014-02,1,0,1,,,,,,,
2014-04,1,0,2,,,,,,,
2014-07,1,0,2,,,,,,,
2014-10,1,0,3,,,,,,,
2014-11,4,0,4,,,,,,,
2014-12,1,0,1,,,,,,,
2015-03,4,0,7,,,,,,,
2015-05,3,0,7,,,,,,,
2015-07,3,0,9,,,,,,,
2015-08,1,1,9,7309.1925,7309.1925,7309.1925,0.0,0.0,0.0,0.0
2015-09,2,0,10,,,,,,,
2015-11,1,0,3,,,,,,,
2016-01,4,0,7,,,,,,,
2016-02,4,0,14,,,,,,,
2016-03,2,0,3,,,,,,,
2016-04,4,0,17,,,,,,,
2016-05,2,0,4,,,,,,,
2016-06,1,0,1,,,,,,,
2016-07,1,0,15,,,,,,,
2016-08,7,1,15,22128.34888888889,22128.34888888889,22128.34888888889,0.0,0.0,0.0,0.0
2016-09,1,0,16,,,,,,,
2016-11,1,0,3,,,,,,,
2017-01,2,0,7,,,,,,,
2017-02,2,1,14,20233.059166666666,20233.059166666666,20233.059166666666,0.0,0.0,0.0,0.0
2017-03,1,0,8,,,,,,,
2017-04,2,0,3,,,,,,,
2017-05,2,0,18,,,,,,,
2017-06,2,0,5,,,,,,,
2017-07,4,0,29,,,,,,,
2017-09,1,0,1,,,,,,,
2017-10,3,0,8,,,,,,,
2017-11,1,1,2,192.4775,192.4775,192.4775,0.0,0.0,0.0,1.0
2017-12,5,0,27,,,,,,,
2018-01,3,0,34,,,,,,,
2018-02,1,0,1,,,,,,,
2018-03,2,0,11,,,,,,,
2018-04,4,0,34,,,,,,,
2018-05,4,1,34,15135.573055555555,15135.573055555555,15135.573055555555,0.0,0.0,0.0,0.0
2018-06,6,0,29,,,,,,,
2018-07,3,0,15,,,,,,,
2018-09,2,0,10,,,,,,,
2018-10,3,0,15,,,,,,,
2018-11,2,0,13,,,,,,,
2018-12,1,0,25,,,,,,,
2019-01,4,0,24,,,,,,,
2019-02,2,0,13,,,,,,,
2019-03,4,0,21,,,,,,,
2019-04,3,0,15,,,,,,,
2019-05,4,0,48,,,,,,,
2019-06,5,0,26,,,,,,,
2019-07,4,0,27,,,,,,,
2019-08,1,0,5,,,,,,,
2019-09,5,0,45,,,,,,,
2019-10,6,0,36,,,,,,,
2019-11,6,0,49,,,,,,,
2019-12,7,0,90,,,,,,,
2020-01,4,0,18,,,,,,,
2020-02,10,0,66,,,,,,,
2020-03,8,1,77,32136.262222222223,32136.262222222223,32136.262222222223,0.0,0.0,0.0,0.0
2020-04,6,0,88,,,,,,,
2020-05,5,0,23,,,,,,,
2020-06,6,1,32,218.86777777777777,218.86777777777777,218.86777777777777,0.0,0.0,0.0,1.0
2020-07,4,0,21,,,,,,,
2020-08,3,1,40,4583.9175,4583.9175,4583.9175,0.0,0.0,0.0,0.0
2020-09,9,1,55,2915.9605555555554,2915.9605555555554,2915.9605555555554,0.0,0.0,0.0,0.0
2020-10,5,0,51,,,,,,,
2020-11,8,1,101,43.520833333333336,43.520833333333336,43.520833333333336,0.0,1.0,1.0,1.0
2020-12,5,1,9,4.058055555555556,4.058055555555556,4.058055555555556,1.0,1.0,1.0,1.0
2021-01,7,1,30,364.80833333333334,364.80833333333334,364.80833333333334,0.0,0.0,0.0,0.0
2021-02,6,0,52,,,,,,,
2021-03,10,2,111,1573.3283333333331,1573.3283333333331,1573.3283333333331,0.5,0.5,0.5,0.5
2021-04,7,0,69,,,,,,,
2021-05,6,1,44,11.425,11.425,11.425,1.0,1.0,1.0,1.0
2021-06,13,0,111,,,,,,,
2021-07,4,0,35,,,,,,,
2021-08,9,2,82,9495.066527777777,9495.066527777777,9495.066527777777,0.0,0.0,0.0,0.0
2021-09,5,1,43,63.0,63.0,63.0,0.0,1.0,1.0,1.0
2021-10,8,0,88,,,,,,,
2021-11,3,0,53,,,,,,,
2021-12,7,0,71,,,,,,,
2022-01,6,0,76,,,,,,,
2022-02,11,1,45,120.10138888888889,120.10138888888889,120.10138888888889,0.0,0.0,1.0,1.0
2022-03,7,2,78,748.1284722222223,748.1284722222223,748.1284722222223,0.0,0.0,0.0,0.5
2022-04,6,0,85,,,,,,,
2022-05,5,0,30,,,,,,,
2022-06,7,1,73,1818.4927777777777,1818.4927777777777,1818.4927777777777,0.0,0.0,0.0,0.0
2022-07,16,0,147,,,,,,,
2022-08,9,0,146,,,,,,,
2022-09,17,0,156,,,,,,,
2022-10,15,2,125,55.49527777777778,55.49527777777778,55.49527777777778,0.5,0.5,1.0,1.0
2022-11,16,0,203,,,,,,,
2022-12,14,1,123,1014.6797222222223,1014.6797222222223,1014.6797222222223,0.0,0.0,0.0,0.0
2023-01,25,2,227,56.75819444444444,56.75819444444444,56.75819444444444,0.5,0.5,1.0,1.0
2023-02,19,0,273,,,,,,,
2023-03,18,2,251,613.5018055555555,613.5018055555555,1045.5270277777777,0.0,0.0,0.5,0.5
2023-04,29,4,232,74.69034722222221,74.69034722222221,82.48501388888889,0.5,0.75,0.75,1.0
2023-05,19,2,278,17198.362638888888,17198.362638888888,17198.362638888888,0.0,0.0,0.0,0.0
2023-06,24,2,305,1530.6490277777777,1530.6490277777777,1530.6490277777777,0.0,0.0,0.0,0.0
2023-07,22,5,294,13002.621166666666,13002.621166666666,13002.621166666666,0.2,0.4,0.6,0.6
2023-08,36,1,400,49868.083333333336,49868.083333333336,49868.083333333336,0.0,0.0,0.0,0.0
2023-09,40,3,353,164.11685185185186,164.11685185185186,164.11685185185186,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
2023-10,26,6,313,1587.12375,1587.12375,1595.094861111111,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-11,32,3,376,1568.1282407407407,1568.1282407407407,1568.1282407407407,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
2023-12,36,5,356,1945.7702777777777,1945.7702777777777,1945.7702777777777,0.0,0.0,0.0,0.2
2024-01,92,60,520,2051.409314814815,2004.4660787037037,3150.509938888889,0.36666666666666664,0.5166666666666667,0.6333333333333333,0.6833333333333333
2024-02,83,68,575,9702.174366830066,9158.44454248366,12912.877341503267,0.25,0.3235294117647059,0.4264705882352941,0.5
2024-03,62,46,615,6373.389909420289,6528.162663043479,10825.296890096619,0.1956521739130435,0.21739130434782608,0.34782608695652173,0.41304347826086957
2024-04,76,38,557,4581.3683114035075,1505.207529239766,10613.303423976608,0.2631578947368421,0.3684210526315789,0.42105263157894735,0.5526315789473685
2024-05,67,55,581,7011.433767676768,5948.913085858585,10084.100506060606,0.2727272727272727,0.34545454545454546,0.36363636363636365,0.41818181818181815
2024-06,73,60,554,1979.1154027777775,468.16304629629633,4387.133156481481,0.35,0.5,0.6333333333333333,0.7
2024-07,41,75,609,9090.19654074074,6904.812133333332,15758.611413333336,0.10666666666666667,0.13333333333333333,0.2,0.25333333333333335
2024-08,45,45,595,6849.891271604939,6220.77712345679,10808.865619753087,0.2222222222222222,0.26666666666666666,0.3111111111111111,0.4444444444444444
2024-09,48,33,546,28855.57068181818,29014.21021885522,31174.740535353536,0.21212121212121213,0.2727272727272727,0.45454545454545453,0.48484848484848486
2024-10,49,25,562,2528.1815,2526.6979111111114,4214.073202222223,0.28,0.52,0.68,0.8
2024-11,41,52,598,9471.083210470086,8552.735331196582,16562.07782264957,0.25,0.3076923076923077,0.38461538461538464,0.4230769230769231
2024-12,32,21,447,1225.8260185185184,197.0539417989418,2770.2829470899474,0.2857142857142857,0.5714285714285714,0.7619047619047619,0.8095238095238095
2025-01,37,20,534,998.6646111111111,524.3131527777779,2210.9749694444445,0.35,0.55,0.6,0.6
2025-02,31,20,431,2641.495152777778,2366.020430555556,4736.862597222222,0.35,0.5,0.6,0.6
2025-03,41,41,588,4250.900182926829,2387.2451761517614,8887.92101490515,0.17073170731707318,0.2682926829268293,0.43902439024390244,0.4878048780487805
2025-04,37,40,530,3923.938333333334,3350.559520833334,6152.053443055556,0.275,0.45,0.475,0.55
2025-05,40,30,574,12631.849546296296,11058.58476851852,18817.598011111117,0.23333333333333334,0.36666666666666664,0.4666666666666667,0.5333333333333333
2025-06,38,28,618,5471.458928571429,4764.992876984127,8868.130817460316,0.14285714285714285,0.17857142857142858,0.32142857142857145,0.39285714285714285
2025-07,45,45,590,7408.987672839507,5127.122203703703,12337.6089654321,0.17777777777777778,0.26666666666666666,0.3333333333333333,0.37777777777777777
2025-08,30,38,606,11823.222419590644,11213.16692251462,16671.73074122807,0.15789473684210525,0.18421052631578946,0.18421052631578946,0.18421052631578946
2025-09,36,62,570,15565.013655913977,9839.801980286738,31120.999779569895,0.11290322580645161,0.1935483870967742,0.27419354838709675,0.2903225806451613
2025-10,47,81,579,20999.2703909465,18046.245617283952,35680.73636213992,0.1111111111111111,0.16049382716049382,0.20987654320987653,0.2716049382716049
2025-11,37,59,572,14582.018700564971,13852.917321092276,21149.58720527307,0.0847457627118644,0.13559322033898305,0.1694915254237288,0.2542372881355932
2025-12,33,29,430,9195.488208812261,9195.488208812261,10536.288454022988,0.20689655172413793,0.27586206896551724,0.3448275862068966,0.4827586206896552
2026-01,3,3,85,77.69351851851852,77.69351851851852,77.69351851851852,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0
